"timestamp","rule_id","threshold","multiplier","decision","reason","violations","violation_percentage"
"2026-04-05T15:49:40.659727+00:00","R-40-2.5","40","2.500000","REJECT","Rule rejected: 2,283 policies (45.66% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2283","45.660000"
"2026-04-05T15:49:40.665540+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T15:49:40.670900+00:00","R-75-1.3","75","1.300000","REJECT","Rule rejected: 2 policies (0.04% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2","0.040000"
"2026-04-05T15:49:40.676266+00:00","R-25-1.22","25","1.220000","APPROVE","Rule approved: zero compliance violations detected, average premium change of $+7.34 is within the $300.00 threshold, and 16.06% portfolio exposure is within the 50% limit. All governance gates passed.","0","0.000000"
"2026-04-05T15:52:29.207612+00:00","R-40-2.5","40","2.500000","REJECT","Rule rejected: 2,283 policies (45.66% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2283","45.660000"
"2026-04-05T15:52:29.213276+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T15:52:29.218496+00:00","R-75-1.3","75","1.300000","REJECT","Rule rejected: 2 policies (0.04% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2","0.040000"
"2026-04-05T15:52:29.224599+00:00","R-25-1.22","25","1.220000","APPROVE","Rule approved: zero compliance violations detected, average premium change of $+7.34 is within the $300.00 threshold, and 16.06% portfolio exposure is within the 50% limit. All governance gates passed.","0","0.000000"
"2026-04-05T16:29:49.222590+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:31:23.890363+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:32:48.829378+00:00","R-25-1.92","25","1.920000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:38:00.492259+00:00","R-40-1.92","40","1.920000","REJECT","Rule rejected: 2,283 policies (45.66% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2283","45.660000"
"2026-04-05T16:43:54.182228+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:44:27.877320+00:00","R-70-1.85","70","1.850000","REJECT","Rule rejected: 4,695 policies (93.90% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","4695","93.900000"
"2026-04-06T07:15:40.982645+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-06T07:16:30.672807+00:00","R-42-1.85","42","1.850000","REJECT","Rule rejected: 2,577 policies (51.54% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2577","51.540000"
"2026-04-13T07:35:50.019733+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:37:38.586988+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:39:14.443380+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:40:49.163040+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:47:18.576849+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:47:53.017936+00:00","R-18-1.1","18","1.100000","APPROVE","Rule approved: zero compliance violations detected, average premium change of $+0.00 is within the $300.00 threshold, and 0.00% portfolio exposure is within the 50% limit. All governance gates passed.","0","0.000000"
"2026-04-13T07:47:53.027660+00:00","R-25-1.2","25","1.200000","APPROVE","Rule approved: zero compliance violations detected, average premium change of $+0.00 is within the $300.00 threshold, and 0.00% portfolio exposure is within the 50% limit. All governance gates passed.","0","0.000000"
"2026-04-13T07:47:53.042527+00:00","R-30-1.35","30","1.350000","REJECT","Rule rejected: 92 policies (1.84% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","92","1.840000"
"2026-04-13T07:53:55.126515+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:53:56.060683+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:53:57.722397+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T07:54:08.897272+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-13T12:06:45.726519+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-14T18:14:46.595344+00:00","R-25.0-1.5","25.000000","1.500000","REJECT","Rule rejected: 613 policies (12.26% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","613","12.260000"
"2026-04-14T18:15:45.279525+00:00","R-25.0-1.5","25.000000","1.500000","REJECT","Rule rejected: 613 policies (12.26% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","613","12.260000"
"2026-04-14T18:19:29.428470+00:00","R-25.0-1.5","25.000000","1.500000","REJECT","Rule rejected: 613 policies (12.26% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","613","12.260000"
"2026-04-14T18:19:46.606274+00:00","R-25.0-1.5","25.000000","1.500000","REJECT","Rule rejected: 613 policies (12.26% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","613","12.260000"
"2026-04-14T18:35:43.876532+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-14T18:38:31.949230+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-14T18:40:46.862444+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-14T18:40:59.662011+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-14T18:41:29.943908+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-14T18:43:51.884034+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T01:21:09.449046+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T01:21:09.948109+00:00","R-30.0-1.5","30.000000","1.500000","REJECT","Rule rejected: 715 policies (14.30% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","715","14.300000"
"2026-04-15T01:22:26.636948+00:00","R-26.0-1.85","26.000000","1.850000","REJECT","Rule rejected: 878 policies (17.56% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","878","17.560000"
"2026-04-15T01:32:22.553832+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T03:28:53.337806+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T03:29:54.526603+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T03:30:33.474088+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T03:32:22.704661+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T10:13:22.044990+00:00","R-33-1.85","33","1.850000","REJECT","Rule rejected: 1,414 policies (28.28% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","1414","28.280000"
"2026-04-15T10:13:29.522411+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T10:13:35.586047+00:00","R-28.0-1.85","28.000000","1.850000","REJECT","Rule rejected: 995 policies (19.90% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","995","19.900000"
"2026-04-15T10:31:22.487782+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T10:34:21.653160+00:00","R-26.0-1.85","26.000000","1.850000","REJECT","Rule rejected: 878 policies (17.56% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","878","17.560000"
"2026-04-15T10:54:28.980435+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T11:03:00.978357+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T11:04:54.630496+00:00","R-27.0-1.85","27.000000","1.850000","REJECT","Rule rejected: 935 policies (18.70% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","935","18.700000"
"2026-04-15T11:05:01.824121+00:00","R-25.0-1.85","25.000000","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-15T11:05:08.226715+00:00","R-27.0-1.85","27.000000","1.850000","REJECT","Rule rejected: 935 policies (18.70% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","935","18.700000"
